group,Nowak
Dolnośląskie,0.961286663
Kujawsko-Pomorskie,0.970719563
Lubelskie,0.991583387
Lubuskie,0.949524254
Łódzkie,0.991258061
Małopolskie,1.11292774
Mazowieckie,1.130050661
Opolskie,0.917066343
Podkarpackie,0.962259562
Podlaskie,1.075034509
Pomorskie,1.012024278
Śląskie,1.008253127
Świętokrzyskie,0.99882413
Warmińsko-Mazurskie,0.919130193
Wielkopolskie,1.001055538
Zachodniopomorskie,0.99900199
