group,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
strict,32.44,34.06,34.9725,30.89,34.0475,40.235,39.92,29.1925,33.0825,38.405,36.135,34.1075,33.38,30.92,33.96,34.0125
non-strict,42.25,41.26,41.362,42.902,41.898,45.198,46.932,41.788,40.876,44.49,42.054,43.846,43.322,40.49,43.544,43.642
