regions,Hellwig
Dolnośląskie,0.243164
Kujawsko-Pomorskie,0.246206
Lubelskie,0.30354
Lubuskie,0.208139
Łódzkie,0.339088
Małopolskie,0.667013
Mazowieckie,0.795715
Opolskie,0.140076
Podkarpackie,0.225525
Podlaskie,0.561972
Pomorskie,0.408323
Śląskie,0.421173
Świętokrzyskie,0.339127
Warmińsko-Mazurskie,0.112509
Wielkopolskie,0.36864
Zachodniopomorskie,0.3473
